season,round,grand_prix,circuit,driver,grid_position,finish_position,status,grid_source_url,race_source_url
2026,1,Australia,Albert Park,RUS,1,1,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,ANT,2,2,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,HAD,3,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,LEC,4,3,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,PIA,5,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,NOR,6,5,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,HAM,7,4,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,LAW,8,13,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,LIN,9,8,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,BOR,10,9,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,HUL,11,,nc,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
2026,1,Australia,Albert Park,BEA,12,7,classified,https://www.formula1.com/en/results/2026/races/1279/australia/starting-grid,https://www.formula1.com/en/results/2025/races/1279/australia/race-result
