Driver,Car_Number,Team,Component_Type,Count,Limit,As_Of_Race,As_Of_Date,Source_Set
PIA,81,McLaren Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
PIA,81,McLaren Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
PIA,81,McLaren Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
PIA,81,McLaren Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
PIA,81,McLaren Mercedes,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
PIA,81,McLaren Mercedes,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
PIA,81,McLaren Mercedes,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,ES,3,3,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,PU-CE,3,3,Japanese Grand Prix,2026-03-28,australia-china-japan
NOR,1,McLaren Mercedes,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,ES,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,PU-CE,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
RUS,63,Mercedes,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
ANT,12,Mercedes,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,MGU-K,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
VER,3,Red Bull Racing RB Ford,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,ICE,2,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,TC,2,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,EXH,2,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,MGU-K,2,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,ES,3,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,PU-CE,3,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HAD,6,Red Bull Racing RB Ford,PU-ANC,2,6,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,PU-CE,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
LEC,16,Ferrari,PU-ANC,1,6,Japanese Grand Prix,2026-03-28,australia-china-japan
HAM,44,Ferrari,ICE,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HAM,44,Ferrari,TC,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HAM,44,Ferrari,EXH,1,4,Japanese Grand Prix,2026-03-28,australia-china-japan
HAM,44,Ferrari,MGU-K,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
HAM,44,Ferrari,ES,1,3,Japanese Grand Prix,2026-03-28,australia-china-japan
